ID,Name,Description,Contributor,Citation,Text_Number,Media_IDs,Clause_Count,Speaker,Speaker_Gender,Speaker_Age,Speaker_Age_Approximated,Speaker_Year_Born,Speaker_Year_Born_Approximated,Type,Year_Recorded,Recording_Length,Source
belt,belt,"Speaker TS01. The story of the theft of a silver belt and the resulting dispute between two villages, which is cleverly solved by a pair of good friends.",Natalia Bogomolova and Dmitry Ganenkov and Nils Norman Schiborr,"Bogomolova, Natalia & Ganenkov, Dmitry & Schiborr, Nils N. 2021. Multi-CAST Tabasaran. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2101. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#tabasaran) (date accessed)",1,belt_mp3 belt_wav belt_eaf belt_xml belt_tsv,80,TS01,male,52,no,1958,no,TN,2010,347.32873015873014,campbell.etal2017
horse,horse,"Speaker TS02. A traditional narrative about three brothers, a vengeful magic horse, and the youngest brother's slow rise to wealth and recognition through wits and bravery.",Natalia Bogomolova and Dmitry Ganenkov and Nils Norman Schiborr,"Bogomolova, Natalia & Ganenkov, Dmitry & Schiborr, Nils N. 2021. Multi-CAST Tabasaran. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2101. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#tabasaran) (date accessed)",2,horse_mp3 horse_wav horse_eaf horse_xml horse_tsv,203,TS02,male,64,no,1946,no,TN,2010,998.1213605442177,campbell.etal2017
naz,naz,"Speaker TS01. A humorous tale of three brothers who could not be any more different from one another: The first is honourable, the second a scoundrel, the last a layabout.",Natalia Bogomolova and Dmitry Ganenkov and Nils Norman Schiborr,"Bogomolova, Natalia & Ganenkov, Dmitry & Schiborr, Nils N. 2021. Multi-CAST Tabasaran. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2101. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#tabasaran) (date accessed)",3,naz_mp3 naz_wav naz_eaf naz_xml naz_tsv,59,TS01,male,52,no,1958,no,TN,2010,254.0263038548753,campbell.etal2017
nuradin,nuradin,Speaker TS01. A biographical retelling of the life of a tailor famous in the village of the speaker and beyond.,Natalia Bogomolova and Dmitry Ganenkov and Nils Norman Schiborr,"Bogomolova, Natalia & Ganenkov, Dmitry & Schiborr, Nils N. 2021. Multi-CAST Tabasaran. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2101. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#tabasaran) (date accessed)",4,nuradin_mp3 nuradin_wav nuradin_eaf nuradin_xml nuradin_tsv,52,TS01,male,52,no,1958,no,AN,2010,357.76485260770977,campbell.etal2017
work,work,"Speaker TS01. A traditional tale about three brothers on the brink of destitution, who one by one set out to find work only to be tricked and killed by a wealthy and ruthless man. Only the youngest brother manages to outwit his employer and take his wealth for his own.",Natalia Bogomolova and Dmitry Ganenkov and Nils Norman Schiborr,"Bogomolova, Natalia & Ganenkov, Dmitry & Schiborr, Nils N. 2021. Multi-CAST Tabasaran. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2101. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#tabasaran) (date accessed)",5,work_mp3 work_wav work_eaf work_xml work_tsv,244,TS01,male,52,no,1958,no,TN,2010,885.939954648526,campbell.etal2017
