ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Affiliation,Areas,Varieties
mctabasaran,Tabasaran,Eurasia,42.0198,47.8379,taba1259,,"Nakh-Daghestanian (Caucasian), Lezgic, Eastern Samur","Tabasaranksy District, central Daghestan, Russia",Tabasaran
en,English,,,,stan1293,,,,
